noise,BA,WA,stim,order,correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.keys,key_resp.corr,key_resp.rt,date,expName,session,participant,
None,None,None,bawam_n75db.wav,1,1,0,0,0,0,1,1,1.8884216387,2012_Nov_05_2141,None,001,1,
None,None,None,bam_n75db.wav,2,1,0,1,1,1,1,1,2.04184725751,2012_Nov_05_2141,None,001,1,
None,None,None,ba_n75db.wav,3,1,0,2,2,2,1,1,0.922359354023,2012_Nov_05_2141,None,001,1,
None,None,None,waf_n75db.wav,4,2,0,3,3,3,None,0,,2012_Nov_05_2141,None,001,1,
None,None,None,ba_n75db.wav,5,1,0,4,4,4,None,0,,2012_Nov_05_2141,None,001,1,
None,None,None,bam_n75db.wav,6,1,0,5,5,5,None,0,,2012_Nov_05_2141,None,001,1,
None,None,None,wam_n75db.wav,7,2,0,6,6,6,2,1,1.51834794417,2012_Nov_05_2141,None,001,1,
None,None,None,bawaf_n75db.wav,8,1,0,7,7,7,1,1,0.729370629819,2012_Nov_05_2141,None,001,1,
None,None,None,bawam_n75db.wav,9,1,0,8,8,8,1,1,1.44100235856,2012_Nov_05_2141,None,001,1,
None,None,None,bawaf_n75db.wav,10,1,0,9,9,9,1,1,1.05234499228,2012_Nov_05_2141,None,001,1,
None,None,None,bawa_n75db.wav,11,1,0,10,10,10,1,1,0.877670536875,2012_Nov_05_2141,None,001,1,
None,None,None,baf_n75db.wav,12,1,0,11,11,11,1,1,0.824319773599,2012_Nov_05_2141,None,001,1,
None,None,None,ba_n75db.wav,13,1,0,12,12,12,1,1,0.616899390187,2012_Nov_05_2141,None,001,1,
None,None,None,wa_n75db.wav,14,2,0,13,13,13,2,1,0.749341726732,2012_Nov_05_2141,None,001,1,
None,None,None,bawa_n75db.wav,15,1,0,14,14,14,1,1,0.912290098223,2012_Nov_05_2141,None,001,1,
None,None,None,baf_n75db.wav,16,1,0,15,15,15,1,1,0.645504851498,2012_Nov_05_2141,None,001,1,
None,None,None,wam_n75db.wav,17,2,0,16,16,16,2,1,1.34249773734,2012_Nov_05_2141,None,001,1,
None,None,None,waf_n75db.wav,18,2,0,17,17,17,2,1,0.722605408713,2012_Nov_05_2141,None,001,1,
None,None,None,bawa_n75db.wav,19,1,0,18,18,18,1,1,0.5044884455,2012_Nov_05_2141,None,001,1,
None,None,None,bawam_n75db.wav,20,1,0,19,19,19,1,1,0.693416241021,2012_Nov_05_2141,None,001,1,
None,None,None,wam_n75db.wav,21,2,0,20,20,20,2,1,0.42126025415,2012_Nov_05_2141,None,001,1,
None,None,None,bawaf_n75db.wav,22,1,0,21,21,21,1,1,0.451121646334,2012_Nov_05_2141,None,001,1,
None,None,None,baf_n75db.wav,23,1,0,22,22,22,1,1,0.441677148793,2012_Nov_05_2141,None,001,1,
None,None,None,bawaf_n75db.wav,24,1,0,23,23,23,1,1,0.718615037944,2012_Nov_05_2141,None,001,1,
None,None,None,wa_n75db.wav,25,2,0,24,24,24,2,1,0.289248962318,2012_Nov_05_2141,None,001,1,
None,None,None,bawa_n75db.wav,26,1,0,25,25,25,1,1,0.4638220709,2012_Nov_05_2141,None,001,1,
None,None,None,waf_n75db.wav,27,2,0,26,26,26,2,1,0.316864047087,2012_Nov_05_2141,None,001,1,
None,None,None,baf_n75db.wav,28,1,0,27,27,27,1,1,0.195473645657,2012_Nov_05_2141,None,001,1,
None,None,None,bawaf_n75db.wav,29,1,0,28,28,28,1,1,0.502172221606,2012_Nov_05_2141,None,001,1,
None,None,None,wa_n75db.wav,30,2,0,29,29,29,2,1,0.481666167416,2012_Nov_05_2141,None,001,1,
None,None,None,bam_n75db.wav,31,1,0,30,30,30,1,1,0.292163004176,2012_Nov_05_2141,None,001,1,
None,None,None,bawa_n75db.wav,32,1,0,31,31,31,1,1,0.488338380362,2012_Nov_05_2141,None,001,1,
None,None,None,waf_n75db.wav,33,2,0,32,32,32,2,1,0.311414410364,2012_Nov_05_2141,None,001,1,
None,None,None,ba_n75db.wav,34,1,0,33,33,33,1,1,0.246542181125,2012_Nov_05_2141,None,001,1,
None,None,None,wa_n75db.wav,35,2,0,34,34,34,2,1,0.293152739283,2012_Nov_05_2141,None,001,1,
None,None,None,wa_n75db.wav,36,2,0,35,35,35,2,1,0.67705450214,2012_Nov_05_2141,None,001,1,
None,None,None,bawam_n75db.wav,37,1,0,36,36,36,1,1,0.486987517022,2012_Nov_05_2141,None,001,1,
None,None,None,wam_n75db.wav,38,2,0,37,37,37,2,1,0.213337626676,2012_Nov_05_2141,None,001,1,
None,None,None,waf_n75db.wav,39,2,0,38,38,38,2,1,0.335909552451,2012_Nov_05_2141,None,001,1,
None,None,None,ba_n75db.wav,40,1,0,39,39,39,1,1,0.433895252286,2012_Nov_05_2141,None,001,1,
None,None,None,baf_n75db.wav,41,1,0,40,40,40,1,1,0.313459307006,2012_Nov_05_2141,None,001,1,
None,None,None,bam_n75db.wav,42,1,0,41,41,41,1,1,0.27221564038,2012_Nov_05_2141,None,001,1,
None,None,None,bawam_n75db.wav,43,1,0,42,42,42,1,1,0.270235528732,2012_Nov_05_2141,None,001,1,
None,None,None,bam_n75db.wav,44,1,0,43,43,43,1,1,0.252641592094,2012_Nov_05_2141,None,001,1,
None,None,None,wam_n75db.wav,45,2,0,44,44,44,2,1,0.432431496283,2012_Nov_05_2141,None,001,1,
